0,1,2,3,4,5,6,7,8,9,10,11,12,label
-209.42384,116.47177,-6.5913444,36.57849,15.153086,17.704338,12.470804,12.245969,2.005272,4.3704004,-1.6191155,0.15347366,-2.014898,1
-127.576775,130.08897,-34.056618,9.400965,-16.919302,2.848025,-29.290926,-2.8341098,-9.507843,-4.0803204,-3.7825065,4.1322203,-5.688927,1
-158.72371,17.530502,-145.20726,15.345666,-42.824913,-15.082238,-23.426668,-15.158569,-16.965576,26.140188,10.940277,8.099166,21.449057,1
-103.61752,46.355713,-47.41875,20.657463,-10.409499,10.788967,-18.288755,5.603104,-8.284501,-2.1569104,-1.3148147,-3.4778676,-2.7429512,1
-284.4711,147.56998,-130.81865,14.565869,-20.153727,-39.146324,45.705727,-22.393791,-25.997105,16.706339,-19.299255,2.3247416,2.8339322,1
-323.14398,105.35607,-37.0631,1.0966567,-11.055449,-2.9856873,-21.910055,-6.2874455,-11.635676,-4.1485143,-14.662025,-4.1061044,-10.014404,1
-306.85327,103.473335,-41.506367,45.591362,-17.03969,44.542816,-13.306885,14.2243805,-16.547747,17.219423,-4.8352914,-4.444492,-3.067566,1
-168.74469,121.264244,-49.37772,25.044836,-16.720032,-20.991253,-24.365494,-5.9115305,-9.460871,-8.500279,-11.480377,-5.9894643,-4.2564206,1
-53.531784,119.30596,-41.607307,21.784138,-23.504581,9.255585,-9.869314,21.720789,-7.160874,14.308053,0.93896675,8.731362,-7.832445,1
-77.27952,56.234962,-26.680279,16.606884,-8.012726,4.30408,-12.066039,-3.999661,-12.787633,-8.962386,-18.149174,-5.606175,-3.9787278,1
-12.56829,84.97529,-72.76204,-8.207566,-28.779165,-3.669025,-17.732016,4.18823,-7.7920685,-0.16321318,-6.4531345,-4.4906015,-5.6116233,1
-182.14331,91.27511,-40.153305,-12.513635,-18.541416,-17.86981,-16.856026,-8.117943,-14.539278,-7.008071,-10.194065,-9.424766,-11.163927,1
-198.36795,173.72665,-196.55829,-35.779625,-11.46688,-48.336967,32.55541,2.1138408,-10.524525,10.936382,-25.754433,2.3002024,19.805157,1
-351.39957,98.649605,-19.046738,13.421022,-29.809057,-37.846703,-15.803246,-16.710495,-5.0387893,-4.9715643,-17.122253,-6.6123705,-11.369629,1
